         15994786 function calls (15947473 primitive calls) in 7.361 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    61460    0.012    0.000    0.038    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:141(__ne__)
    13515    0.011    0.000    0.033    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/copy.py:200(_deepcopy_list)
        3    0.010    0.003    0.037    0.012 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/graphdata/graphProcessing.py:28(get_node_mappings_dict)
       20    0.008    0.000    0.008    0.000 {method 'copy' of 'set' objects}
     9878    0.008    0.000    0.013    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:1006(__eq__)
     8404    0.006    0.000    0.006    0.000 {built-in method _codecs.utf_8_decode}
        3    0.006    0.002    0.014    0.005 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/graphdata/graphProcessing.py:51(encode_sum_node_labels)
    74075    0.006    0.000    0.006    0.000 {built-in method builtins.id}
        1    0.006    0.006    7.360    7.360 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/graphdata/dataset.py:83(init_dataset)
        5    0.006    0.001    0.075    0.015 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/copy.py:258(_reconstruct)
     2928    0.006    0.000    0.006    0.000 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/graphdata/graphProcessing.py:62(<listcomp>)
     8705    0.005    0.000    0.013    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:1645(_castLexicalToPython)
    13520    0.005    0.000    0.007    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/copy.py:242(_keep_alive)
        4    0.005    0.001    0.008    0.002 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/graphdata/dataset.py:30(get_idx_labels)
        4    0.005    0.001    0.007    0.002 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/graphdata/graph.py:51(<dictcomp>)
     8705    0.004    0.000    0.004    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:94(_is_valid_unicode)
     9313    0.003    0.000    0.011    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/parsers/ntriples.py:257(nodeid)
     4704    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
23536/23469    0.003    0.000    0.003    0.000 {built-in method builtins.len}
    33510    0.003    0.000    0.003    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/copy.py:182(_deepcopy_atomic)
     8705    0.002    0.000    0.002    0.000 {method 'groups' of 're.Match' objects}
        4    0.002    0.001    0.002    0.001 {method 'contiguous' of 'torch._C._TensorBase' objects}
        5    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
     5631    0.002    0.000    0.002    0.000 {built-in method builtins.sum}
     8705    0.002    0.000    0.002    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:1537(_py2literal)
     2928    0.002    0.000    0.002    0.000 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/graphdata/graphProcessing.py:54(<listcomp>)
     2703    0.002    0.000    0.002    0.000 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/graphdata/graphProcessing.py:44(<listcomp>)
      588    0.002    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.002    0.002    0.003    0.003 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/graphdata/graphProcessing.py:41(encode_org_node_labels)
        4    0.001    0.000    0.004    0.001 {method 'union' of 'set' objects}
     1897    0.001    0.000    0.002    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/compat.py:59(<lambda>)
      161    0.001    0.000    0.001    0.000 {built-in method posix.urandom}
        8    0.001    0.000    0.001    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/sklearn/utils/__init__.py:234(<listcomp>)
      159    0.001    0.000    0.001    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/uuid.py:132(__init__)
     4131    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
      615    0.000    0.000    0.004    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:397(__new__)
    36/12    0.000    0.000    0.001    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/sre_parse.py:493(_parse)
      588    0.000    0.000    0.004    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/compat.py:58(_unicodeExpand)
       36    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      159    0.000    0.000    0.002    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/uuid.py:780(uuid4)
        7    0.000    0.000    0.000    0.000 {built-in method io.open}
